,Date,AveragePrice,Total Volume,Sales,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
0,2015-12-27,1.33,64236.62,85434.7046,1036.74,54454.85,48.16,8696.87,8603.62,93.25,0,conventional,2015,Albany
1,2015-12-20,1.35,54876.98,74083.923,674.28,44638.81,58.33,9505.56,9408.07,97.49,0,conventional,2015,Albany
2,2015-12-13,0.93,118220.22,109944.8046,794.7,109149.67,130.5,8145.35,8042.21,103.14,0,conventional,2015,Albany
3,2015-12-06,1.08,78992.15,85311.522,1132,71976.41,72.58,5811.16,5677.4,133.76,0,conventional,2015,Albany
4,2015-11-29,1.28,51039.6,65330.688,941.48,43838.39,75.78,6183.95,5986.26,197.69,0,conventional,2015,Albany
5,2015-11-22,1.26,55979.78,70534.5228,1184.27,48067.99,43.61,6683.91,6556.47,127.44,0,conventional,2015,Albany
6,2015-11-15,0.99,83453.76,82619.2224,1368.92,73672.72,93.26,8318.86,8196.81,122.05,0,conventional,2015,Albany
7,2015-11-08,0.98,109428.33,107239.7634,703.75,101815.36,80,6829.22,6266.85,562.37,0,conventional,2015,Albany
8,2015-11-01,1.02,99811.42,101807.6484,1022.15,87315.57,85.34,11388.36,11104.53,283.83,0,conventional,2015,Albany
9,2015-10-25,1.07,74338.76,79542.4732,842.4,64757.44,113,8625.92,8061.47,564.45,0,conventional,2015,Albany
10,2015-10-18,1.12,84843.44,95024.6528,924.86,75595.85,117.07,8205.66,7877.86,327.8,0,conventional,2015,Albany
11,2015-10-11,1.28,64489.17,82546.1376,1582.03,52677.92,105.32,10123.9,9866.27,257.63,0,conventional,2015,Albany
12,2015-10-04,1.31,61007.1,79919.301,2268.32,49880.67,101.36,8756.75,8379.98,376.77,0,conventional,2015,Albany
13,2015-09-27,0.99,106803.39,105735.3561,1204.88,99409.21,154.84,6034.46,5888.87,145.59,0,conventional,2015,Albany
14,2015-09-20,1.33,69759.01,92779.4833,1028.03,59313.12,150.5,9267.36,8489.1,778.26,0,conventional,2015,Albany
15,2015-09-13,1.28,76111.27,97422.4256,985.73,65696.86,142,9286.68,8665.19,621.49,0,conventional,2015,Albany
16,2015-09-06,1.11,99172.96,110081.9856,879.45,90062.62,240.79,7990.1,7762.87,227.23,0,conventional,2015,Albany
17,2015-08-30,1.07,105693.84,113092.4088,689.01,94362.67,335.43,10306.73,10218.93,87.8,0,conventional,2015,Albany
